Date,Open,High,Low,Close,Volume
2019-11-20,4.36,4.3988,4.211,4.24,54876
2019-11-21,4.21,4.22,3.95,3.98,171237
2019-11-22,4.02,4.17,3.96,4.06,203718
2019-11-25,4.06,4.31,4.01,4.25,82930
2019-11-26,4.27,4.3472,4.11,4.14,73928
2019-11-27,4.17,4.17,3.9,4.03,84143
2019-11-29,4.07,4.13,4.011,4.08,76047
2019-12-02,4.07,4.155,3.98,4.05,81110
2019-12-03,4,4.1242,4,4.1,38926
2019-12-04,4.09,4.17,4.09,4.11,34667
2019-12-05,4.08,4.25,4.08,4.23,81529
2019-12-06,4.25,4.57,4.25,4.48,271986
2019-12-09,4.44,4.65,4.42,4.44,213682
2019-12-10,4.5,4.67,4.3372,4.47,188333
2019-12-11,4.5,4.59,4.27,4.28,150017
2019-12-12,4.34,4.57,4.24,4.54,219424
2019-12-13,4.53,4.63,4.41,4.55,217823
2019-12-16,4.55,4.63,4.41,4.5,100238
2019-12-17,4.47,4.73,4.35,4.52,278374
2019-12-18,4.5,4.65,4.49,4.58,219189
2019-12-19,4.57,4.66,4.47,4.62,89511
2019-12-20,4.63,4.63,4.46,4.58,102298
2019-12-23,4.58,4.61,4.43,4.52,122450
2019-12-24,4.46,4.62,4.46,4.57,87475
2019-12-26,4.6,4.6,4.49,4.57,37700
2019-12-27,4.6,4.6,4.38,4.4,99228
2019-12-30,4.38,4.47,4.33,4.44,77769
2019-12-31,4.48,4.48,4.4,4.46,20578
2020-01-02,4.47,4.57,4.45,4.52,89764
2020-01-03,4.47,4.47,4.31,4.39,64099
2020-01-06,4.35,4.44,4.24,4.25,69884
2020-01-07,4.43,4.43,4.23,4.37,139961
2020-01-08,4.35,4.36,4.23,4.24,68811
2020-01-09,4.24,4.33,4.19,4.26,45292
2020-01-10,4.24,4.34,4.21,4.27,28399
2020-01-13,4.32,4.34,4.25,4.3,41041
2020-01-14,4.25,4.5,4.22,4.45,154496
2020-01-15,4.41,4.49,4.36,4.47,89142
2020-01-16,4.44,4.65,4.41,4.6,295102
2020-01-17,4.65,4.69,4.51,4.61,230823
2020-01-21,4.52,4.75,4.5,4.73,319287
2020-01-22,4.7,4.7622,4.56,4.57,368754
2020-01-23,4.55,4.75,4.5135,4.7,70164
2020-01-24,4.68,4.7071,4.5773,4.63,138337
2020-01-27,4.6,4.6,4.5,4.57,113098
2020-01-28,4.57,4.68,4.56,4.65,68039
2020-01-29,4.66,4.77,4.61,4.68,71886
2020-01-30,4.63,4.79,4.59,4.76,140064
2020-01-31,4.74,4.82,4.69,4.75,87342
2020-02-03,4.75,4.82,4.68,4.78,119546
2020-02-04,4.93,4.93,4.75,4.92,188359
2020-02-05,4.9,4.94,4.74,4.92,270886
2020-02-06,4.98,4.98,4.83,4.9,180211
2020-02-07,4.85,4.98,4.8,4.9,264590
2020-02-10,4.88,4.88,4.7341,4.77,48541
2020-02-11,4.8,4.88,4.75,4.83,98706
2020-02-12,4.82,4.99,4.82,4.94,163656
2020-02-13,4.94,4.98,4.81,4.84,331512
2020-02-14,4.85,4.93,4.77,4.9,660814
2020-02-18,4.84,4.93,4.82,4.86,261114
2020-02-19,4.86,5.02,4.83,5,251142
2020-02-20,4.95,5.02,4.95,5,194237
2020-02-21,4.96,4.99,4.82,4.82,79900
2020-02-24,4.73,4.75,4.19,4.52,358704
2020-02-25,4.5,4.5899,4.33,4.44,236957
2020-02-26,4.42,4.43,3.82,3.85,632234
2020-02-27,3.63,3.86,3.1,3.86,414299
2020-02-28,3.4,3.68,3.4,3.67,192836
2020-03-02,3.5,3.7,3.49,3.68,158116
2020-03-03,3.75,3.96,3.42,3.63,269477
2020-03-04,3.65,3.79,3.5,3.52,383479
2020-03-05,3.54,3.54,3.2138,3.26,338594
2020-03-06,3.2,3.27,3,3.03,278579
2020-03-09,2.99,2.99,2.5,2.6,361493
2020-03-10,2.73,3.04,2.52,3.04,319760
2020-03-11,3.03,3.03,2.44,2.48,392127
2020-03-12,2.36,2.36,1.85,2,485762
2020-03-13,2.19,2.21,1.75,1.8,257582
2020-03-16,1.79,1.79,1.32,1.37,374574
2020-03-17,1.47,1.47,0.9305,1.11,488208
2020-03-18,1.05,1.06,0.83,0.83,345217
2020-03-19,0.83,0.8954,0.62,0.8344,657207
2020-03-20,0.8761,1.05,0.85,0.9,538282
2020-03-23,0.92,0.92,0.73,0.75,518278
2020-03-24,0.9,0.9199,0.78,0.9,752959
2020-03-25,1.05,1.5,0.95,1,2057884
2020-03-26,1.2,1.2,0.9902,1.03,2028908
2020-03-27,1.06,1.06,0.8501,0.9676,713434
2020-03-30,1.01,1.01,0.82,0.9,527538
2020-03-31,0.88,0.9918,0.88,0.9578,216481
2020-04-01,0.96,0.96,0.81,0.8383,734642
2020-04-02,0.88,0.88,0.82,0.8501,303392
2020-04-03,0.9,0.9,0.82,0.8312,341918
2020-04-06,0.8647,0.896,0.84,0.89,450811
2020-04-07,0.919,0.995,0.87,0.95,713051
2020-04-08,0.99,1.02,0.9301,0.9663,658613
2020-04-09,1,1.2699,0.9833,1.13,1875860
2020-04-13,1.26,1.3,1.07,1.15,964890
2020-04-14,1.21,1.28,1.1601,1.22,613800
2020-04-15,1.24,1.25,1.16,1.24,552460
2020-04-16,1.25,1.27,1.12,1.15,884867
2020-04-17,1.19,1.2511,1.16,1.16,550537
2020-04-20,1.17,1.22,1.1,1.12,583874
2020-04-21,1.11,1.11,1.01,1.03,525520
2020-04-22,1.11,1.11,1.02,1.02,462229
2020-04-23,1.05,1.05,1,1.03,574470
2020-04-24,0.9825,1.02,0.9175,0.95,761553
2020-04-27,0.995,0.995,0.8716,0.89,818165
2020-04-28,0.89,0.91,0.83,0.86,1764122
2020-04-29,0.9135,1.05,0.8701,1.04,2769183
2020-04-30,1.02,1.03,0.95,1,1162015
2020-05-01,1.01,1.01,0.85,0.9001,1061279
2020-05-04,0.86,0.91,0.8001,0.91,1270964
2020-05-05,0.935,0.95,0.87,0.89,555394
2020-05-06,0.91,0.91,0.8001,0.8401,1093485
2020-05-07,0.85,0.85,0.8201,0.8431,617680
2020-05-08,0.842,0.9,0.826,0.88,535797
2020-05-11,0.88,0.88,0.88,0.88,0
2020-05-12,0.136,0.136,0.136,0.136,0
2020-05-13,0.307,0.307,0.307,0.307,0
2020-05-14,0.399,0.399,0.399,0.399,0
2020-05-15,0.413,0.413,0.413,0.413,0
2020-05-18,0.529,0.529,0.529,0.529,0
2020-05-19,0.332,0.332,0.332,0.332,0
2020-05-20,0.234,0.234,0.234,0.234,0
2020-05-21,0.169,0.169,0.169,0.169,0
2020-05-22,0.151,0.151,0.151,0.151,0
2020-05-26,0.185,0.185,0.185,0.185,0
2020-05-27,0.257,0.257,0.257,0.257,0
2020-05-28,0.203,0.203,0.203,0.203,0
2020-05-29,0.212,0.212,0.212,0.212,0
2020-06-01,0.229,0.229,0.229,0.229,0
2020-06-02,0.278,0.278,0.278,0.278,0
2020-06-03,0.308,0.308,0.308,0.308,0
2020-06-04,0.316,0.316,0.316,0.316,0
2020-06-05,0.332,0.332,0.332,0.332,0
2020-06-08,0.523,0.523,0.523,0.523,0
2020-06-09,0.508,0.508,0.508,0.508,0
2020-06-10,0.489,0.489,0.489,0.489,0
2020-06-11,0.04,0.8,0.04,0.27,2121328
2020-06-12,0.35,0.45,0.2,0.4,1010166
2020-06-15,0.6,0.65,0.4,0.53,1653809
2020-06-16,0.55,0.59,0.46,0.53,655458
2020-06-17,0.555,0.58,0.46,0.52,392734
2020-06-18,0.46,0.55,0.46,0.5,479219
2020-06-19,0.5,0.52,0.45,0.45,274456
2020-06-22,0.4,0.44,0.25,0.39,248170
2020-06-23,0.55,0.55,0.25,0.37,444088
2020-06-24,0.51,0.51,0.27,0.38,105142
2020-06-25,0.32,0.39,0.32,0.38,92087
2020-06-26,0.39,0.39,0.33,0.3661,94189
2020-06-29,0.3,0.3919,0.28,0.34,156954
2020-06-30,0.5,0.5,0.3305,0.35,50434
2020-07-01,0.5,0.5,0.3,0.33,54770
2020-07-02,0.3,0.39,0.3,0.33,95199
2020-07-06,0.3,0.37,0.3,0.33,112123
2020-07-07,0.3,0.374,0.3,0.33,132696
2020-07-08,0.33,0.37,0.3065,0.32,315492
2020-07-09,0.3,0.38,0.3,0.33,206990
2020-07-10,0.31,0.36,0.31,0.335,73521
2020-07-13,0.32,0.3599,0.32,0.3202,59549
2020-07-14,0.305,0.36,0.3,0.3,181522
2020-07-15,0.34,0.34,0.3001,0.338,20315
2020-07-16,0.34,0.34,0.3,0.311,40081
2020-07-17,0.34,0.34,0.3,0.31,42765
2020-07-20,0.5,0.5,0.3,0.32,109937
2020-07-21,0.32,0.39,0.302,0.302,285753
2020-07-22,0.3,0.36,0.3,0.31,292019
2020-07-23,0.301,0.335,0.297,0.3,425645
2020-07-24,0.34,0.34,0.28,0.29,95189
2020-07-27,0.34,0.34,0.25,0.26,316999
2020-07-28,0.255,0.31,0.255,0.29,389928
2020-07-29,0.28,0.35,0.28,0.311,404338
2020-07-30,0.34,0.35,0.3,0.3155,179106
2020-07-31,0.31,0.34,0.31,0.311,19934
2020-08-03,0.31,0.34,0.31,0.32,68594
2020-08-04,0.32,0.4,0.32,0.39,68297
2020-08-05,0.4,0.44,0.32,0.4,112319
2020-08-06,0.375,0.4,0.3601,0.37,113250
2020-08-07,0.44,0.44,0.38,0.42,62429
2020-08-10,0.4,0.44,0.4,0.4175,66823
2020-08-11,0.5,0.5,0.4,0.44,64498
2020-08-12,0.51,0.51,0.42,0.4704,84301
2020-08-13,0.61,0.61,0.41,0.45,92376
2020-08-14,0.54,0.54,0.415,0.43,141687
2020-08-17,0.43,0.4899,0.42,0.4301,80370
2020-08-18,0.4598,0.4598,0.3,0.4,227161
2020-08-19,0.5345,0.5345,0.35,0.37,192534
2020-08-20,0.3,0.54,0.3,0.345,60195
2020-08-21,0.34,0.34,0.31,0.32,136103
2020-08-24,0.332,0.41,0.31,0.35,501794
2020-08-25,0.359,0.359,0.325,0.35,187483
2020-08-26,0.35,0.35,0.31,0.34,109716
2020-08-27,0.3175,0.4,0.3,0.3275,134938
2020-08-28,0.375,0.39,0.32,0.35,94551
2020-08-31,0.41,0.52,0.37,0.51,1081793
2020-09-01,0.521,0.7,0.52,0.59,898056
2020-09-02,0.59,0.6,0.45,0.5,323330
2020-09-03,0.4,0.5,0.4,0.5,321673
2020-09-04,0.5,0.5,0.45,0.48,188995
2020-09-08,0.63,0.63,0.47,0.49,88520
2020-09-09,0.45,0.5,0.45,0.5,118637
2020-09-10,0.5,0.5,0.47,0.4975,57436
2020-09-11,0.45,0.5454,0.45,0.5,165390
2020-09-14,0.45,0.5,0.45,0.49,79172
2020-09-15,0.4,0.5,0.4,0.47,37171
2020-09-16,0.5,0.5,0.459,0.49,66729
2020-09-17,0.499,0.499,0.47,0.4894,7228
2020-09-18,0.4988,0.5,0.48,0.4988,35559
2020-09-21,0.45,0.5,0.45,0.46,75359
2020-09-22,0.45,0.5,0.45,0.4988,27493
2020-09-23,0.5,0.5,0.37,0.48,124978
2020-09-24,0.5,0.5,0.4,0.44,68509
2020-09-25,0.5,0.5,0.38,0.462,50552
2020-09-28,0.491,0.5,0.45,0.48,81135
2020-09-29,0.495,0.495,0.3999,0.3999,101049
2020-09-30,0.44,0.4898,0.44,0.45,60569
2020-10-01,0.6,0.6,0.44,0.47,11518
2020-10-02,0.47,0.47,0.4,0.41,169376
2020-10-05,0.49,0.49,0.405,0.42,118261
2020-10-06,0.49,0.49,0.42,0.46,85822
2020-10-07,0.44,0.488,0.38,0.4,96024
2020-10-08,0.48,0.48,0.38,0.43,373514
2020-10-09,0.44,0.4405,0.38,0.4195,207841
2020-10-12,0.391,0.43,0.39,0.4015,87109
2020-10-13,0.4175,0.4175,0.395,0.41,62250
2020-10-14,0.48,0.48,0.375,0.4,55383
2020-10-15,0.4,0.42,0.377,0.381,158622
2020-10-16,0.4,0.439,0.375,0.375,92084
2020-10-19,0.4,0.43,0.37,0.3898,39715
2020-10-20,0.335,0.3998,0.335,0.37,57797
2020-10-21,0.37,0.409,0.37,0.38,79224
2020-10-22,0.365,0.41,0.365,0.4076,124429
2020-10-23,0.4088,0.4088,0.38,0.4075,41954
2020-10-26,0.37,0.41,0.37,0.4,142666
2020-10-27,0.37,0.388,0.37,0.37,37696
2020-10-28,0.41,0.41,0.35,0.365,52986
2020-10-29,0.35,0.399,0.35,0.381,34401
2020-10-30,0.3897,0.3897,0.35,0.375,7512
2020-11-02,0.35,0.39,0.349,0.349,76477
2020-11-03,0.3205,0.37,0.3205,0.3505,28437
2020-11-04,0.35,0.38,0.34,0.38,83291
2020-11-05,0.47,0.47,0.346,0.35,75075
2020-11-06,0.34,0.38,0.34,0.351,35665
2020-11-09,0.45,0.45,0.34,0.38,95207
2020-11-10,0.38,0.4,0.35,0.37,87112
2020-11-11,0.3897,0.3897,0.35,0.365,111240
2020-11-12,0.34,0.3799,0.34,0.37,24867
2020-11-13,0.3525,0.4,0.3525,0.39,53482
2020-11-16,0.395,0.45,0.36,0.399,66744
2020-11-17,0.38,0.43,0.38,0.383,69466
2020-11-18,0.42,0.429,0.355,0.4,301801
2020-11-19,0.39,0.439,0.39,0.42,77736
2020-11-20,0.3955,0.44,0.3955,0.42,56857
2020-11-23,0.396,0.44,0.396,0.43,86376
